 smile id
161 CC(C)N(CC1=CC=CC=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L48832
162 C[C@@H](NC1=NC(NCCC2=CNC3=C2C=C(OCC2=CC=CC=C2)C=C3)=NC(NC2(CCSCC2)C(O)=O)=N1)C1=CC=C(Br)C=C1 L52589
163 CNC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37502
164 CN(CC1=CC=CC2=C1C=CC=C2)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(C)C1CCCCC1 L52672
165 NC1CCC(CC1)NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37562
166 OCC1CN(C2=NC(NCC3=CC=CC=C3Cl)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37576
167 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(C)CC1=CC=C(F)C=C1 L53655
168 OCC1CN(C2=NC(NCCC3=CC=CC(Cl)=C3)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C2=CC=CC=C2O1 L734
169 CCCCN(CC1=CC=CC=C1)C1=NC(NCC2=C(OC)C(OC)=CC=C2)=NC(NC2(CCSCC2)C(O)=O)=N1 L47336
170 NC1CCCCC1NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37559
